epoch,train_loss,val_loss,f1_macro,f1_weighted,lr
1,0.6086862263878905,0.5432489913602906,0.7259056402683264,0.7312949379588993,0.0001
2,0.5284288594817524,0.5191146823402821,0.7412082526963926,0.7451928014211309,9.960967771506667e-05
3,0.5050984490883984,0.5050110848102887,0.7587388868383582,0.7632970590987694,9.844486647586725e-05
4,0.4854487265331818,0.5094291816980991,0.7515402438441534,0.7547983835640365,9.652393605146846e-05
5,0.469708231963875,0.5046059994686245,0.7618352146890617,0.7666823584056583,9.387718066217125e-05
6,0.45414834706882995,0.4998201286141493,0.7554973097124531,0.759006105511078,9.054634122155992e-05
7,0.4445577593703952,0.5152253163115712,0.7511396640527164,0.7570454455940734,8.658394705735988e-05
8,0.4315700468231737,0.5142245656520907,0.7412457717794227,0.7483484778816322,8.205248749256015e-05
9,0.4115991134063817,0.5207994087574884,0.7420082284626002,0.745336007833961,7.702342635146033e-05
10,0.40179138538698345,0.5338806225398374,0.7393831362512383,0.7439077402670058,7.15760749324711e-05
